a,b,c,d,e,f,g,h,label
9,0,-2,-1,-1,-1,-1,0,rest
1,-5,-3,-2,-1,-1,3,-1,rest
-6,0,1,0,-1,0,1,-3,rest
4,3,2,1,0,-1,2,-1,rest
-2,3,0,0,-1,-1,4,0,rest
1,-3,-2,0,0,-1,0,-3,rest
-2,0,-2,-2,-1,0,1,-1,rest
2,-5,-2,-1,-1,-1,2,-4,rest
-5,-12,-5,-2,-1,-2,0,-3,rest
0,1,1,0,-1,-1,0,-1,rest
4,2,-1,-1,0,-1,3,-7,rest
-6,-11,-1,-3,-1,-2,0,-1,rest
-1,2,1,0,-1,-2,3,-5,rest
-12,-2,0,1,0,-1,-1,1,rest
2,2,1,0,-2,0,-5,2,rest
-3,0,-1,-1,-2,0,0,-3,rest
0,1,-1,0,0,0,0,-2,rest
-3,-4,-2,-2,-1,-1,-1,-3,rest
-3,7,1,0,0,0,-1,-5,rest
-12,-1,-2,0,-1,-1,0,-2,rest
-7,2,-1,-1,-1,0,1,-4,rest
-6,0,-4,-3,-1,-2,-1,-7,rest
1,-7,-3,-1,1,-2,0,-1,rest
12,0,-1,-2,1,0,-1,2,rest
9,-1,1,0,0,-1,0,3,rest
-3,-1,2,1,0,0,1,-9,rest
-10,-3,-1,-2,-2,-1,0,-3,rest
0,-3,-1,0,-1,1,1,-5,rest
-9,-4,-1,0,-1,0,0,-3,rest
5,-4,-2,-2,-1,0,2,-4,rest
1,-1,0,-1,-1,-2,1,-3,rest
2,-3,-1,-1,-1,-3,0,-4,rest
-4,0,0,-2,-2,0,1,0,rest
4,-2,-1,-2,-1,-1,-2,15,rest
-1,0,-1,-2,-2,-2,1,0,rest
-5,-5,0,1,-1,-1,-2,-4,rest
13,0,-1,-1,-2,-1,1,-2,rest
-3,2,1,-2,-2,-1,-1,-4,rest
-16,0,-1,-1,-1,1,13,2,rest
-3,-4,-1,1,-1,-1,0,-11,rest
-3,-4,-2,-1,-3,-1,0,4,rest
1,-1,0,0,0,-1,0,0,rest
0,0,-1,0,-1,-1,0,-1,rest
2,1,-1,0,0,-1,0,0,rest
1,-1,-1,-1,-2,-1,2,-5,rest
1,-1,-1,0,0,0,1,-2,rest
2,-1,0,1,0,-1,0,-2,rest
1,0,0,-1,-1,-2,7,-6,rest
1,0,0,-1,-2,-1,1,0,rest
-1,0,-2,-1,-1,1,-1,-1,rest
-9,3,-1,-1,-2,-1,3,-5,rest
-6,-5,-4,-1,0,-3,1,-3,rest
7,2,-1,0,0,1,0,23,rest
5,-3,-1,-1,-1,0,-3,-6,rest
1,-3,-3,-1,-1,0,0,-1,rest
4,0,-1,-1,-2,-1,-5,0,rest
1,-3,-5,-2,-1,-1,-2,-1,rest
0,0,-1,1,0,-1,-1,-2,rest
7,0,0,0,0,0,1,-1,rest
5,-1,1,0,-2,-2,-1,-1,rest
4,-2,0,-1,-1,0,0,2,rest
-1,-4,-1,-2,0,-2,0,-2,rest
0,2,1,0,-2,-1,1,-2,rest
11,-1,-1,1,0,0,1,-4,rest
6,-1,-3,0,0,0,-2,3,rest
-2,3,-1,0,0,0,-9,-4,rest
-12,0,-1,1,0,-1,2,-3,rest
2,-3,-3,-3,-2,-1,1,1,rest
-1,-5,-3,-1,-1,-3,0,-3,rest
2,0,-2,-1,-2,1,-1,1,rest
