a,b,c,d,e,f,g,h,label
2,1,-7,-2,-1,0,-4,0,finger5
1,-4,-10,1,2,2,2,14,finger5
-3,-12,-9,-4,-4,-3,-1,-4,finger5
-1,-1,-4,-7,-3,-2,1,-5,finger5
-6,-9,-62,-2,-3,0,0,-13,finger5
-2,-1,-23,-4,-2,0,0,0,finger5
1,-2,-15,4,-1,0,1,-7,finger5
2,5,-10,2,1,0,-1,1,finger5
3,2,10,1,-2,0,0,-5,finger5
-2,0,4,3,1,0,-1,-2,finger5
1,4,0,1,0,-1,1,1,finger5
-3,1,-7,0,-1,0,2,0,finger5
-2,-2,-4,-2,-2,-1,-1,-2,finger5
2,12,-7,1,-1,-2,1,-7,finger5
-5,-5,0,-1,2,1,2,1,finger5
-6,-9,19,4,0,0,1,-5,finger5
3,2,-4,2,1,1,1,2,finger5
0,-5,40,4,0,1,-1,-3,finger5
-3,-9,27,1,-1,0,-1,-4,finger5
-13,-12,14,-5,-3,-2,-1,0,finger5
2,0,4,3,0,0,0,1,finger5
0,-13,-59,-8,-4,-2,-1,-1,finger5
-2,1,22,5,2,0,2,-1,finger5
0,-10,9,0,0,-2,0,-2,finger5
2,-3,19,-3,-1,0,1,-1,finger5
-7,-2,-33,-4,-1,0,0,-3,finger5
-3,-13,6,0,1,1,1,-3,finger5
2,11,39,5,1,0,1,3,finger5
-3,4,24,1,-3,-2,-1,3,finger5
-3,-5,28,-1,-4,-3,1,0,finger5
4,16,-9,2,0,-1,1,-1,finger5
-4,-4,-9,-1,0,1,0,-5,finger5
-3,-12,-2,-5,-4,-2,-2,-7,finger5
1,2,1,-1,-2,-1,0,-1,finger5
-1,-3,0,4,0,-1,0,0,finger5
-5,2,14,-1,-2,-1,1,-3,finger5
-1,4,13,-6,-2,-1,1,3,finger5
5,-1,53,1,-3,-1,0,-5,finger5
-7,-13,-50,-17,-5,-2,-2,-2,finger5
-4,-4,31,4,0,-1,2,-17,finger5
8,18,114,12,4,5,19,-1,finger5
-10,-1,-98,-6,-2,-1,-3,-2,finger5
0,-2,3,1,-1,0,1,-5,finger5
-2,-5,-5,-4,-2,0,-1,-4,finger5
6,33,9,-2,-2,-2,-1,-15,finger5
0,-5,10,0,-1,0,1,2,finger5
1,14,0,4,0,0,1,-7,finger5
-2,-3,-10,0,0,-1,1,0,finger5
-6,-15,0,0,-2,-1,1,-2,finger5
-11,-2,25,3,-1,-1,-1,-6,finger5
2,-10,-17,-5,-4,-1,-1,-1,finger5
-4,-9,-20,-1,2,0,0,0,finger5
0,-15,-6,-2,0,-2,0,-1,finger5
2,-4,-16,-1,0,-1,0,-1,finger5
3,-4,-30,2,2,0,0,1,finger5
1,-3,-16,-5,-2,-1,0,-4,finger5
-11,4,-7,0,-1,-1,0,-4,finger5
2,-2,-50,-6,-2,-1,0,-2,finger5
0,-5,27,-4,-3,-2,1,4,finger5
0,11,5,3,0,-1,1,-1,finger5
-2,4,-3,2,1,-1,1,1,finger5
10,-4,1,0,-1,-1,1,0,finger5
-1,-1,-49,-6,0,-1,1,-4,finger5
-4,-15,-7,-7,-3,-2,1,-3,finger5
-1,-13,-17,-4,-1,-1,0,-4,finger5
1,-8,-2,1,0,0,0,-1,finger5
0,8,6,1,-1,-2,2,0,finger5
1,-3,6,3,1,0,1,2,finger5
11,-1,-8,-3,-2,-2,0,-2,finger5
3,4,20,-5,-3,-3,-1,-1,finger5
-3,-9,-62,-2,-1,2,-1,-5,finger5
-5,-14,1,-6,-2,-3,1,-6,finger5
-2,24,127,13,1,3,5,3,finger5
-18,11,-39,1,0,0,1,-6,finger5
17,-2,-36,2,2,-2,0,-16,finger5
7,5,38,-4,-4,-1,0,4,finger5
0,2,38,-1,-2,0,1,0,finger5
-3,-2,-11,-1,0,-2,0,-1,finger5
-5,-11,6,-1,-2,0,0,-3,finger5
-4,14,6,3,0,-1,1,0,finger5
-1,8,4,1,-1,-1,1,-2,finger5
0,4,0,0,-1,0,-1,-2,finger5
-3,-3,-6,-3,-4,-1,-1,-2,finger5
1,11,-3,2,1,1,1,-1,finger5
-8,0,2,1,-2,-2,0,-2,finger5
4,12,10,2,1,1,1,-5,finger5
3,-2,0,-1,-2,-2,1,1,finger5
-3,3,0,-2,-1,-1,1,-1,finger5
-1,-4,-9,-8,-3,0,2,-3,finger5
1,3,-2,1,0,-1,0,7,finger5
1,-6,37,0,-1,0,1,-4,finger5
-1,6,-5,1,1,0,-1,-1,finger5
-3,9,11,3,-2,-1,1,-1,finger5
-1,7,0,1,0,0,0,2,finger5
-1,1,5,-2,-4,-1,0,-4,finger5
-1,3,0,-3,-1,-1,1,-1,finger5
-6,-23,-4,-3,-2,0,1,-4,finger5
-7,8,2,2,-2,-1,1,2,finger5
0,8,3,0,-2,0,-1,-2,finger5
1,1,16,1,0,0,2,0,finger5
-9,1,-5,1,0,0,1,-1,finger5
1,-9,-3,0,-4,-1,-1,-2,finger5
-10,-11,3,0,-1,-2,-1,5,finger5
-7,-6,-18,-4,-2,-2,1,15,finger5
-11,-2,16,5,2,0,2,-4,finger5
11,-14,19,2,0,1,2,-5,finger5
-10,28,-40,-1,0,0,-1,4,finger5
6,-8,48,-1,-3,0,-1,0,finger5
3,4,-2,-1,-1,-2,-1,-1,finger5
-6,-6,3,5,1,1,1,-3,finger5
-3,17,1,0,-1,-1,1,-4,finger5
-1,-9,-16,0,0,0,0,1,finger5
2,32,11,-1,-2,-1,1,-2,finger5
1,-20,-1,-5,-2,0,1,0,finger5
1,5,10,5,3,1,2,1,finger5
-2,-8,-7,-3,-4,-3,0,-2,finger5
0,-19,-5,1,-3,0,0,0,finger5
5,9,6,0,-1,-1,-1,1,finger5
-10,1,22,2,1,-1,0,-9,finger5
-1,-14,-8,-1,-2,-1,0,-2,finger5
5,22,7,1,0,-1,-1,1,finger5
-6,-3,9,0,-1,-1,1,-2,finger5
-4,2,5,-2,-1,-1,-1,1,finger5
4,9,9,3,0,0,1,3,finger5
-6,-2,-7,0,-2,-1,-1,-2,finger5
-1,9,-14,-3,-2,-2,0,-4,finger5
0,-2,8,4,1,1,2,-1,finger5
8,2,-4,-1,0,-2,1,-1,finger5
-1,6,-1,-1,0,0,0,-6,finger5
0,6,8,-1,-1,-1,0,1,finger5
1,0,9,3,-1,-1,1,0,finger5
-5,2,-16,-5,-2,-1,0,-3,finger5
-3,-1,-13,-8,-3,-1,-1,1,finger5
2,2,-21,-5,-2,-2,0,-4,finger5
1,-2,-16,-6,0,0,1,-2,finger5
0,-2,14,3,0,1,1,0,finger5
-3,-7,17,3,1,0,3,14,finger5
2,11,6,3,0,-1,-4,-4,finger5
-10,18,7,4,1,2,4,-16,finger5
-19,-31,-2,7,1,1,4,7,finger5
-9,7,-34,-3,-3,-2,-3,-6,finger5
-2,11,-17,-3,-3,-2,0,-4,finger5
-5,-20,-11,-2,1,1,0,-2,finger5
-1,19,2,2,0,-2,0,-2,finger5
2,8,12,0,0,1,2,-2,finger5
-3,-3,-3,-2,-1,0,0,-1,finger5
3,-4,7,2,1,0,0,2,finger5
4,0,18,2,1,2,1,16,finger5
3,-6,1,0,-1,1,1,-3,finger5
1,9,-5,-1,-1,1,1,0,finger5
-3,23,-8,1,1,-1,0,-2,finger5
-2,-23,-9,-3,-3,0,0,-3,finger5
-1,4,0,-1,0,0,1,-2,finger5
-2,-15,-13,-6,-3,-2,-1,-4,finger5
0,3,-1,-2,-1,-1,1,-2,finger5
-5,-17,-5,-4,-3,-2,-1,-3,finger5
7,3,-3,-1,0,-2,0,-3,finger5
-1,-14,-8,-3,-3,-1,-1,0,finger5
-2,-16,-3,-2,-3,-2,1,-4,finger5
2,1,0,-3,-2,0,-1,-12,finger5
0,-4,0,4,3,0,0,1,finger5
2,-6,2,1,-1,-2,-1,-3,finger5
-2,-18,-7,-5,-4,-2,0,-2,finger5
0,8,-3,-3,-2,-1,0,-1,finger5
-2,-10,-9,-1,-2,-1,1,-2,finger5
1,15,7,-2,-2,-2,0,-4,finger5
-1,-17,-4,0,-2,-1,0,-4,finger5
-2,1,3,1,-1,0,-1,-3,finger5
0,25,4,2,-1,0,2,0,finger5
-1,-2,-16,-2,0,-2,0,-5,finger5
1,23,36,-1,-3,0,1,-5,finger5
12,21,25,1,0,1,-1,-5,finger5
-4,8,11,-5,-2,-2,1,-3,finger5
