a,b,c,d,e,f,g,h,label
-4,-12,-6,-7,-1,-1,1,-3,rest
1,1,21,-1,0,0,2,2,rest
0,-1,35,-5,-5,-2,0,-3,rest
0,-7,16,1,-4,-2,-1,-3,rest
-2,-6,21,8,2,0,2,-4,rest
-4,0,20,4,0,-1,0,1,rest
1,-1,13,2,-2,1,0,3,rest
5,10,19,-1,-1,0,2,3,rest
2,1,-5,3,-1,-1,2,-2,rest
-4,-7,5,-2,-1,0,1,-3,rest
-7,-14,-20,-8,-5,-2,-2,0,rest
3,6,5,2,1,0,0,7,rest
-3,-7,2,-4,-4,-1,0,1,rest
-6,-1,-76,-11,-3,-1,0,-7,rest
-5,-2,1,3,1,-1,0,-16,rest
-1,9,48,6,-1,-1,0,3,rest
1,-6,-19,-5,0,0,0,2,rest
1,-5,-8,0,0,0,1,3,rest
8,0,16,9,1,1,1,-2,rest
1,0,-55,-5,-1,-1,0,3,rest
-1,-14,-7,1,0,1,0,0,rest
-2,1,8,-2,0,0,1,0,rest
3,-6,23,6,1,1,-1,-3,rest
-2,-3,2,1,-2,-2,0,-2,rest
2,4,27,4,2,1,1,0,rest
-3,4,17,-3,-3,-1,0,-3,rest
5,24,3,-2,-2,-1,0,2,rest
2,6,9,2,0,-1,2,1,rest
0,5,5,7,0,-1,1,-3,rest
6,13,15,3,0,-1,1,2,rest
-2,12,8,4,-1,0,0,0,rest
10,5,-5,-2,-2,-2,-1,-2,rest
-15,-52,1,3,-2,0,0,10,rest
-3,-3,1,0,-1,-1,-1,-5,rest
-6,-1,-46,-2,-1,0,0,-9,rest
-2,-4,13,0,0,0,1,-2,rest
-3,-4,-13,-3,0,0,0,-4,rest
-1,-6,-12,1,-1,-1,0,0,rest
-1,-5,6,-1,-1,-2,-1,-1,rest
6,10,3,-3,-3,-1,0,1,rest
8,-2,3,1,-1,-1,-2,-2,rest
-3,10,17,1,-3,-1,0,-2,rest
-5,-4,-2,-1,-2,-1,0,1,rest
-2,6,29,6,1,1,3,-2,rest
4,0,-2,-1,-2,-2,0,-1,rest
3,4,-3,-3,-2,-1,0,0,rest
-2,-11,34,0,-2,0,0,-1,rest
1,15,-1,2,2,2,1,-3,rest
1,3,8,2,0,0,-1,0,rest
0,7,-1,-5,-4,-2,0,-1,rest
2,-5,-2,1,-1,-1,1,-2,rest
3,-1,31,1,0,0,1,-3,rest
2,0,-6,-3,-2,-1,-1,0,rest
2,0,6,0,-1,0,0,-3,rest
7,-10,-14,-2,0,-1,0,-5,rest
4,5,2,1,0,1,1,-1,rest
-7,0,-21,-7,-4,-2,0,0,rest
0,3,6,-2,-1,-1,2,-12,rest
1,14,4,5,1,1,1,1,rest
2,0,-18,-4,-2,-2,0,0,rest
-5,-7,5,-5,-2,0,-2,-3,rest
0,-11,-6,-2,-2,-1,-1,-2,rest
2,4,35,2,0,1,1,3,rest
2,5,3,3,-1,0,3,18,rest
-3,0,-6,-2,-4,-1,-1,0,rest
3,-4,-2,-1,-1,-1,1,2,rest
4,17,1,4,1,0,1,2,rest
