Connecting to Myo ... Use CTRL^C to exit.
If nothing happens, make sure the Bluetooth adapter is plugged in,
Myo Connect is running and your Myo is put on.

-1   -3   1    -2   -1   -1   -1   -4   
-1   28   11   2    -2   0    2    13   
2    -9   -2   0    0    1    0    4    
37   -24  -12  -3   -1   0    -2   -2   
-14  3    -1   -1   1    0    -6   6    
6    -6   -10  -4   -2   -1   0    -6   
-7   10   1    2    1    -1   6    -8   
27   16   1    1    -2   -2   0    4    
3    2    0    0    0    -2   1    -2   
-6   7    4    -2   -2   -1   5    0    
-4   -28  -3   -1   -1   -1   2    5    
-14  -3   1    0    0    0    3    4    
28   0    -2   0    -1   0    0    1    
-36  -17  4    2    1    1    -5   6    
-44  -8   -1   1    0    0    -5   5    
-92  5    3    1    -3   -3   0    -1   
-35  10   4    0    1    0    -1   3    
52   4    -3   -2   -2   0    9    -8   
-1   16   2    -1   -1   0    -1   3    
-5   1    -2   -1   -2   -1   2    0    
-3   -6   -2   0    0    0    -2   -11  
6    1    -6   -2   -1   0    -2   -3   
-4   -14  -4   0    0    -1   -5   -4   
8    14   8    0    -1   -2   1    -3   
21   47   32   6    2    1    2    0    
-12  102  25   2    0    -2   0    -4   
-15  -80  6    -5   -2   -3   -4   -8   
4    2    -9   9    4    -5   -61  -8   
15   -3   -2   0    -1   -1   7    1    
-35  -49  -36  -14  -14  -29  12   -10  
65   -63  6    9    7    -2   -25  97   
-50  19   1    9    11   -3   -16  -120 
42   41   15   12   18   3    67   -1   
-9   27   -13  -2   -1   -23  -66  -7   
29   98   28   7    18   17   91   21   
-49  -128 15   -6   -29  35   16   8    
28   20   83   26   12   -58  15   10   
-13  11   -40  -6   2    20   64   -1   
-25  -59  -20  -6   1    -7   -27  -15  
3    6    -11  -5   -7   -13  1    1    
2    29   52   2    -2   -3   -6   -6   
11   24   26   5    2    -2   2    5    
2    -14  -2   -1   -2   0    -2   -3   
-5   -7   -5   -5   -1   0    2    -2   
0    19   2    -4   -3   -1   -1   -2   
20   44   13   -6   -5   -1   0    -1   
39   14   0    5    5    8    21   70   
-5   34   6    0    -1   -3   -6   -5   
-23  -91  19   8    -7   -76  -7   -4   
-40  -28  -101 2    8    74   3    35   
8    24   37   4    0    -9   32   28   
3    -30  24   0    0    -3   -25  -24  
12   -76  -44  3    3    -6   -8   1    
6    -1   -7   -2   -3   -2   -9   -6   
-7   21   -15  -3   -3   -3   4    -8   
30   45   9    -3   -2   -2   -1   -14  
1    2    9    3    0    0    1    5    
1    5    10   2    1    0    4    2    

Quitting ...
Shutting down hub...
